시군명,사업단계,사업유형,정비구역명,위치,구역면적(㎡),(기존주택)준공년도,(기존주택)동수,(기존주택)세대수,(기존주택)면적별세대수(40㎡미만),(기존주택)면적별세대수(40~60㎡),(기존주택)면적별세대수(60~85㎡),(기존주택)면적별세대수(85~135㎡),(기존주택)면적별세대수(135㎡이상),사업시행세대수총계,조합원분양세대수,일반분양세대수,임대세대수,(신축주택)분양주택수,(신축주택)면적별분양주택수(40㎡미만),(신축주택)면적별분양주택수(40~60㎡),(신축주택)면적별분양주택수(60~85㎡),(신축주택)면적별분양주택수(85~135㎡),(신축주택)면적별분양주택수(135㎡이상),(신축주택)임대주택수,(신축주택)면적별임대주택수(40㎡미만),(신축주택)면적별임대주택수(40~60㎡),(신축주택)면적별임대주택수(60~85㎡),(기존)용적률,(신축)용적률,토지등소유자수(명),조합원수(명),사업시행자,사업예정기간(사업시작),사업예정기간(사업완료),정비예정구역고시일자,정비구역지정예정일자,정비계획승인일자,정비구역지정일자(최초지정),정비구역지정일자(변경지정),추진위승인일자,예비평가일자,안전진단일자,조합설립인가일자,사업시행인가일자,관리처분인가일자,착공일자,일반분양일자,준공일자,이전고시일자,현추진상황,담당자전화번호,비고
과천시,착공,재건축,주공4단지구역,경기도 과천시 별양동 7번지 일원,60679.000,1983,10,1110,,210,900,,,1445.00,1158,287,,1445,,288,960,197,,,,,,170%,288%,1163,1150,조합,2017,2027,20100430,20100430,20170515,20170515,20220811,20180312,,20141229,,20200901,20220527,20240701,20241007,,,,02-3677-2657,
과천시,착공,재개발,주암장군마을,경기도 과천시 주암동 63-9번지 일원,52895.000,1980-2009,143,420,20,175,41,65,119,880.00,488,348,44,836,,229,453,154,,44,44,,,145%,232%,405,401,조합,2016,2027,20100430,20151231,20160812,20160812,20210406,20180820,,,,20211029,20230315,20250425,20250826,,,,02-3677-2656,
과천시,조합설립,재건축,주공10단지구역,경기도 과천시 중앙동 67번지 일원,102100.000,1984,26,632,,,172,460,,1339.00,632,707,,1339,,348,628,342,21,,,,,82%,180%,669,648,조합,2016,2030,20100430,20100430,20161121,20161121,,20210810,,20141229,,,,,,,,,02-3677-2656,
과천시,관리처분,재건축,주공5단지구역,경기도 과천시 별양동 6번지 일원,63629.000,1983,7,800,,,,800,,1242.00,828,414,,1242,,0,556,682,4,,,,,175%,300%,834,776,조합,2017,2028,20100430,20100430,20170515,20170515,20201029,20200123,,20141229,,20240521,20250321,,,,,,02-3677-2653,
광명시,준공,주거환경개선,광명철산,경기도 광명시 철산동 510,78673.000,1991,380,1952,148,1025,576,203,,2351.00,,1117,1234,1117,,462,541,114,,1234,580,654,,50~100%,275%,1933,1933,LH,1996,2002,,,,19960203,,,,,,19961114,,19980828,20010507,20020524,,,02-2680-2363,
광명시,준공,주거환경개선,광명삼각주,경기도 광명시 철산동 606,11480.000,1996,170,281,,220,61,,,401.00,,182,219,182,,92,90,,,219,,219,,50~100%,284%,278,278,LH,1997,2001,,,,19960626,,,,,,19970930,,19990415,20001010,20011015,,,02-2680-2363,
광명시,준공,주거환경개선,광명신촌마을,경기도 광명시 소하동 4-1 일원,112120.000,2001,501,919,23,550,346,,,1760.00,,885,875,885,,113,628,144,,875,66,809,,50~100%,176%,910,910,LH,2003,2010,,,,20030528,20090109,,,,,20050207,,20090630,20090826,20101029,,,02-2680-2363,
광명시,추진위원회,재건축,철산주공13단지,경기도 광명시 nan,,,,2460,,,,,,,,,,3719,,,,,,,,,,,,,,,,,,,,,,20250722,,,,,,,,,,,,
광명시,정비구역,재건축,하안주공5단지,경기도 광명시 nan,,,,2049,,,,,,,,,,2832,,,,,,,,,,,,,,,,,,,,20250528,,,,,,,,,,,,,,
광명시,추진위원회,재건축,하안주공8단지,경기도 광명시 nan,,,,1680,,,,,,,,,,2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광명시,준공,재건축,"철산주공8,9단지",경기도 광명시 철산2동 235,173856.000,1985,77,2064,310,910,640,204,,3804.00,2057,1655,92,3712,,1922,1370,420,,92,,92,,77%,280%,2094,2051,조합,2014,2025,,,20100727,20110524,20190329,20140326,20091006,20100125,,20181228,20200715,20211230,20221215,20250530,,,02-2680-6972,
광명시,준공,재건축,철산주공7단지,경기도 광명시 철산3동 233,61041.000,1985,23,599,,283,316,,,1313.00,602,711,,1313,,759,492,62,,,,,,67%,266%,630,630,조합,2012,2022,,,20091107,20120911,20220315,20140528,20091204,20100517,,20170808,20180212,20190430,20190829,20220323,20221014,,02-2680-6972,
광명시,준공,재건축,철산주공4단지,경기도 광명시 철산3동 452,35288.000,1985,15,470,,,470,,,798.00,475,323,,798,,443,327,28,,,,,,82%,285%,478,472,조합,2014,2021,,,20101125,20111031,20170616,20130808,20091118,20100402,,20160630,20170303,20180704,20180719,20210226,20210823,,02-2680-6972,
광명시,준공,재개발,철산두산위브아파트,경기도 광명시 철산동 50번지 일대,32650.000,1980,116,517,48,153,223,93,,900.00,531,369,,900,,356,364,180,,,,,,114%,292%,563,531,조합,2003,2007,,,,20000614,20070226,20010921,,,,20030506,20040116,20040902,20041013,20070329,20070627,,02-2680-6972,
광명시,착공,재건축,"철산주공10,11단지",경기도 광명시 철산2동 105,67738.000,1985,31,1080,430,650,,,,1490.00,1083,407,,1490,,,1421,69,,393,,,,85%,267%,1123,1110,조합,2011,2025,,,20101002,20110524,20230106,20131025,20091029,20100302,,20190613,20210126,20220916,20231019,,,,02-2680-6972,
광명시,추진위원회,재건축,철산주공12단지,경기도 광명시 nan,,,,1800,,,,,,,,,,2753,,,,,,,,,,,,,,,,,20250804,,,,,,,,,,,,,,,,,
광명시,정비구역,재건축,하안주공3·4단지,경기도 광명시 nan,,,,3556,,,,,,,,,,4119,,,,,,,,,,,,,,,,,,,,20250929,,,,,,,,,,,,,,
광명시,준공,재건축,광육재건축단지,경기도 광명시 광명6동 354-24,73577.000,1981,241,241,6,23,59,97,56,1267.00,812,343,112,1155,,142,566,263,184,112,,112,,160%,264%,1023,907,조합,2006,2015,,,,20060116,,20000329,20000620,20011215,,20060630,20061019,20081205,20111218,20150901,20160120,,02-2680-6972,
광명시,준공,재건축,광명5동(월드메르디앙아파트),경기도 광명시 광명동 776-49,19983.000,1981,35,273,273,,,,,577.00,264,313,,577,,126,451,,,,,,,167%,297%,273,264,조합,2004,2007,,,,20040614,,19960926,,,,20030626,,20040823,20040819,20070426,,,02-2680-6972,
광명시,준공,재건축,철산주공2단지아파트,경기도 광명시 철산동 373,58711.000,1980,24,1000,1000,,,,,1264.00,1027,237,,1264,,286,584,334,60,,,,,80%,254%,1004,1004,조합,2006,2009,,,,20050328,,20020630,20020604,20030421,,20050516,20051228,20070129,20091204,20100218,20110706,,02-2680-6972,
광명시,준공,재건축,철산주공3단지아파트,경기도 광명시 철산동 552,96200.000,1981,38,1900,1900,,,,,2072.00,1887,185,,2072,,513,1046,405,108,,,,,80%,249%,1900,1899,조합,2006,2009,,,,20050328,,20020827,20011128,20020222,,20050516,20051221,20061226,20091228,20091126,20110527,,02-2680-6972,
광명시,준공,재건축,하안주공본1단지아파트,경기도 광명시 하안동 764,132500.000,1982,57,2440,2440,,,,,2815.00,2387,428,,2815,,596,1492,674,53,,,,,80%,251%,2440,2382,조합,2006,2010,,,,20050328,,20020923,20011210,20020321,,20050516,20051228,20061128,20091008,20100114,20100525,,02-2680-6972,
광명시,준공,재건축,하안주공본2단지아파트,경기도 광명시 하안동 769,63744.000,1982,42,940,940,,,,,1248.00,948,300,,1248,,250,556,336,106,,,,,80%,245%,962,962,조합,2006,2009,,,,20050328,,20020827,20020221,20020530,,20050516,20051222,20061130,20090804,20091102,20100423,,02-2680-6972,
구리시,준공,재건축,수택1지구,경기도 구리시 수택동532번지일원,32535.000,1982,143,305,,,,305,,565.00,259,271,35,530,,215,315,,,35,,35,,75%,249.85%,291,259,조합,2004,2025,,,,20070730,20080721,20051104,,,20071227,20081224,20191001,20220121,20220215,20250429,20250529,,031-550-2492,
구리시,추진위원회,재건축,한성1차아파트,경기도 구리시 nan,,,,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구리시,조합설립,재개발,수택동 재개발,경기도 구리시 수택동 454-9번지 일원,342780.000,1952~2020,1208,1783,,,,1783,,0.00,,,,,,,,,,,,,,100%,249.95%,4280,4264,조합,2021,2030,,,,20230714,,20230824,,,20240619,,,,,,,,031-550-8304,
구리시,착공,재개발,딸기원2지구,경기도 구리시 교문동 339일원,84370.000,1952/2009,184,477,,,,477,,1096.00,217,637,242,854,,322,526,6,,252,52,190,,43%,160%,300,203,조합,2013,2029,,,20100930,20130308,20190930,20071212,,,20160127,20200217,20230807,20250901,20250919,,,,031-550-2492,
구리시,준공,재건축,수택지구,경기도 구리시 수택동556번지 일원,20159.000,1982,68,257,,,,257,,410.00,196,166,48,362,,228,134,,,48,,48,,70%,249.74%,223,193,조합,2004,2021,,,20060414,20070730,20181015,20040216,,,20110908,20160204,20170427,20190401,20190403,20210630,20210916,,031-550-2411,
구리시,준공,재개발,인창주택,경기도 구리시 인창동320-2 일원,33793.000,1957~2004,135,375,,,,375,,632.00,261,339,32,600,78,306,216,,,32,32,,,100%,236.28%,302,237,조합,2005,2021,,,,20070528,20190104,20051114,,,20070810,20080211,20151103,20180405,20180418,20210917,20230213,,031-550-2492,
군포시,정비구역,재개발,군포2구역,경기도 군포시 군포시 당동 768번지 일원,92034.000,1978~2019,309,1955,87,1502,323,37,6,2017.00,,,,1837,,769,49,1019,,180,98,82,,,300%,1398,,미정,2025,2035,,,20250227,20250227,,,,,,,,,,,,,031-390-0589,
군포시,조합설립,재개발,금정4구역,경기도 군포시 군포시 금정동 754번지 일원,50028.000,1983~2021,146,839,12,551,206,46,24,940.00,,,92,848,,429,305,114,,92,72,20,,,300%,586,,,,,,,20240927,20240927,,,,,,,,,,,,,031-390-0516,
군포시,조합설립,재개발,GTX금정역 역세권1구역,경기도 군포시 군포시 산본동 75번지 일원,44027.000,1973~2022,194,951,10,37,19,19,212,981.00,,,83,898,7,605,286,,,83,47,36,,,300%,332,,,,,,,20241127,20241127,,,,,,,,,,,,,031-390-0967,
군포시,조합설립,재개발,금정2구역,경기도 군포시 군포시 금정동 762-11번지 일원,47512.000,1976~2022,150,670,20,186,275,103,86,1092.00,,,93,999,3,547,353,96,,93,51,42,,,300%,533,,지정개발자(신탁),2025,2032,,,20240927,20240927,,,,,,,,,,,,,031-390-0228,
군포시,조합설립,재개발,금정역세권1구역,경기도 군포시 군포시 금정동 727번지 일원,51418.000,1959~2024,142,812,52,320,401,35,4,1150.00,,,,,,,,,,,,,,,미정,504,,지정개발자(신탁),2025,3035,,,,20250227,,,,,,,,,,,,,031-390-0967,
군포시,조합설립,재개발,금정역 역세권,경기도 군포시 군포시 산본동 1028번지 일원,58139.000,1985~2018,150,1021,233,497,201,88,3,1293.00,,,98,1195,,84,1006,105,,98,66,32,,177%,332%,802,,지정개발자(신탁),2022,2030,,,20211230,20211230,,,,,,,,,,,,,031-390-0956,
군포시,조합설립,재개발,산본1동1지구,경기도 군포시 군포시 산본동 79-8번지 일원,84399.000,1967~2020,322,1661,151,910,155,73,372,2021.00,,,165,1856,159,938,759,,,165,94,71,,132%,300%,1132,,지정개발자(신탁),2022,2030,,,20211230,20211230,,,,,,,,,,,,,031-390-0914,
군포시,조합설립,재개발,금정역 산본1동2지구,경기도 군포시 군포시 산본동 227-7번지 일원,40207.000,1985~2016,131,560,,1,115,243,199,954.00,,,92,862,1,271,538,52,,92,53,39,,168%,343%,510,,지정개발자(신탁),2022,2030,,,20220908,20220908,,,,,,,,,,,,,031-390-0966,
군포시,조합설립,재개발,군포1구역,경기도 군포시 군포시 당동 731번지 일원,40602.000,1967~2022,171,674,72,432,148,16,6,932.00,,,88,844,,411,433,,,88,43,45,,,300%,416,,지정개발자(신탁),2024,2031,,,20231229,20231229,,,,,,,,,,,,,031-390-0967,
군포시,조합설립,재개발,군포3구역,경기도 군포시 군포시 당동 738번지 일원,25064.000,1983~2021,117,488,22,334,105,17,10,557.00,,,55,502,,311,164,27,,55,44,11,,,300%,260,,지정개발자(신탁),2024,2033,,,20231229,20231229,,,,,,,,,,,,,031-390-0967,
군포시,조합설립,재개발,금정3구역,경기도 군포시 군포시 금정동 766번지 일원,31194.000,1976~2022,124,564,112,321,106,17,8,700.00,,,67,633,37,313,283,,,67,52,15,,,300%,389,,지정개발자(신탁),2024,2033,,,20231229,20231229,,,,,,,,,,,,,031-390-0516,
군포시,관리처분,재개발,군포10구역,경기도 군포시 당동 781번지 일원,37721.000,1975~2004,102,610,300,200,100,10,,1031.00,395,584,52,979,8,284,683,3,1,52,35,17,,192%,617%,370,391,조합,2010,2028,,,20100430,20100920,20221130,20160307,,,,20221209,20240829,,,,,,031-390-0956,
군포시,준공,재건축,산본주공아파트,경기도 군포시 군포시 산본동 208외 5,128359.000,1985,80,1728,1728,,,,,2644.00,1726,644,274,2370,,257,1100,581,432,274,,274,,83%,270%,1763,1716,조합,2002,2010,,,,20060620,20080710,20031231,,20021230,,20060710,20070309,20071029,20091111,20100920,20101020,,031-390-0228,
김포시,준공,주거환경개선,양곡마을,경기도 김포시 양촌읍 양곡리 403-4,46583.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,20190731,,,,,,,,20201201,,20211229,,,031-980-5624,
김포시,준공,주거환경개선,서암,경기도 김포시 통진읍 서암리 758-22,18490.000,1984,51,126,,,126,,,,,,,,,,,,,,,,,200%,200%,47,,市,2014,2019,,,,20151114,,,,,,,,20160504,,20190619,,,031-980-5624,
남양주시,관리처분,재건축,평내1,경기도 남양주시 평내동 산84-11일원,60046.000,1985~1987,43,1260,232,486,542,,,1843.00,1104,694,45,1798,,1603,195,,,45,,45,,129.00%,290%,1299,1121,조합,2010,,20201224,,,20081023,20180809,20090304,20030530,20030613,,20100917,20120419,,,,,,031-590-4317,
남양주시,관리처분,재건축,금곡2,경기도 남양주시 금곡동 159-59 일원,19166.000,1986,9,413,66,62,167,77,41,576.00,576,,,576,,338,238,,,,,,,143.70%,296%,411,402,조합,2016,2022,20201224,20121231,20150910,20150910,20170330,20170508,,20150127,,20220121,20250227,,,,,,031-590-2386,
남양주시,관리처분,재개발,퇴계원2,경기도 남양주시 퇴계원읍 퇴계원리 109-8일원,19383.000,1984~2015,68,285,1,6,120,158,,255.00,,,21,255,12,159,84,,,21,,,,30.20%,250%,285,,,,,20201224,20231231,20210311,20210311,,,,,,20230309,20241023,,,,,,031-590-8753,
남양주시,정비구역,재개발,퇴계원7,경기도 남양주시 퇴계원읍 퇴계원리 329-69일원,10884.000,1988~1995,24,211,66,129,16,,,,,,,,,,,,,,,,,134.10%,250%,238,238,,,,20201224,20301231,20230427,20230427,,,,,,,,,,,,,031-590-4769,
남양주시,정비구역,재개발,퇴계원4,경기도 남양주시 퇴계원읍 퇴계원리 82-13일원,26593.000,1980~2014,75,166,,98,23,26,19,,,,,,,,,,,,,,,36.10%,250%,186,,,,,20201224,20251231,20231231,20231231,,,,,,,,,,,,,031-590-8281,
남양주시,추진위원회,재개발,퇴계원1,경기도 남양주시 퇴계원읍 퇴계원리 261-16일원,25152.000,1980~2000,78,468,,29,31,381,27,,,,,,,,,,,,,,,51.80%,250%,433,,,,,20201224,20251231,20230119,20230119,,,,,,,,,,,,,031-590-4769,
남양주시,추진위원회,재건축,금곡5,경기도 남양주시 금곡동 산108-1일원,10088.000,1986,3,270,,270,,,,351.00,351,,,351,,,351,,,,,,,148.00%,300%,248,,추진위,2010,,20201224,20301231,,,,,20030801,,,,,,,,,,031-590-8753,
남양주시,예정구역,재건축,오남1,경기도 남양주시 오남읍 오남리 683-5 일원,99413.000,1988~2004,48,2296,411,382,1038,370,95,,,,,,,,,,,,,,,146.80%,300%,2296,,,,,20201224,20231231,,,,,,20200110,,,,,,,,,031-590-4769,
남양주시,예정구역,재개발,퇴계원5,경기도 남양주시 퇴계원읍 퇴계원리 272일원,14045.000,1986~2010,41,263,2,24,93,143,1,,,,,,,,,,,,,,,66.20%,250%,,,,,,20201224,20251231,,,,,,,,,,,,,,,031-590-8753,
남양주시,예정구역,재개발,금곡7,경기도 남양주시 금곡동 158-7일원,15269.000,1981~2014,22,164,8,9,56,89,2,,,,,,,,,,,,,,,126.70%,250%,,,,,,20201224,20301231,,,,,,,,,,,,,,,031-590-8753,
남양주시,예정구역,재개발,금곡6,경기도 남양주시 금곡동 162-42일원,25372.000,1978~2004,45,560,94,255,168,37,6,,,,,,,,,,,,,,,112.50%,250%,,,,,,20201224,20301231,,,,,,,,,,,,,,,031-590-8753,
남양주시,예정구역,재개발,호평1,경기도 남양주시 호평동 184-1일원,19708.000,1972~2010,45,172,,56,25,6,85,,,,,,,,,,,,,,,50.80%,250%,,,,,,20201224,20301231,,,,,,,,,,,,,,,031-590-8753,
남양주시,예정구역,재개발,진접7,경기도 남양주시 진접읍 내각리 산31-7일원,10812.000,1986,7,228,,196,32,,,,,,,,,,,,,,,,,122.00%,250%,,,,,,20201224,20251231,,,,,,,,,,,,,,,031-590-8753,
남양주시,청산,재건축,지금2지구,경기도 남양주시 지금동 129-65 일원,61301.000,1960~1998,222,1470,290,266,557,340,17,1008.00,762,213,33,975,,209,498,268,,33,,33,,120.00%,245%,789,681,조합,2003,2015,,,,20060901,20160707,20030625,20030430,20030430,,20070322,20071231,20120724,20130514,20170630,20171101,,031-590-4317,
남양주시,청산,재건축,도농3개통,경기도 남양주시 도농동 294 일원,28211.000,1952~2003,118,212,40,34,80,53,5,457.00,178,258,21,436,,81,251,104,,21,,21,,83.10%,265%,199,178,조합,2003,2014,,,,20061026,,20031204,20061108,20061108,,20070723,20080103,20120508,20121022,20161208,20170803,,031-590-4317,
남양주시,준공,재건축,"남광,신우",경기도 남양주시 도농동 2-5 일원,23290.000,1979,9,177,22,24,75,41,15,317.00,176,107,34,283,,,283,,,34,,34,,96.00%,212%,162,162,조합,2000,2013,,,,20070702,,20000317,,19991115,,20091103,20100330,20110513,20130516,20131230,20140213,,031-590-4317,
남양주시,준공,재건축,"평내2 (양지,삼창아파트)",경기도 남양주시 평내동 103-2일원,39162.000,1986~1989,11,1005,408,597,,,,1108.00,820,255,33,1075,,802,273,,,33,,33,,188.00%,273%,1017,819,조합,2010,2022,20201224,20121231,20110113,20110120,20160728,20111229,20030530,20030619,,20161222,20170925,20190827,20190828,20220624,20230504,,031-590-2386,
동두천시,준공,재건축,생연동 주공생연아파트,경기도 동두천시 생연동 284번지 일원,19969.000,1985,9,300,,300,,,,576.00,256,320,,576,,115,461,,,,,,,87%,280%,301,232,조합,2014,,,,20111205,20130502,20160205,20090817,20101102,20110328,20130930,20200311,20201029,20220404,20220406,20241217,,,031-860-2402,
동두천시,정비구역,주거환경개선,중앙,경기도 동두천시 생연동 483번지 일원,45139.000,1961,265,295,295,,,,,,,,,,,,,,,,,,,500%,,179,,市,2007,,,,20070829,20080204,,,,,,,,,,,,,031-860-2356,
동두천시,사업시행,재건축,생연동 국민주택,경기도 동두천시 동두천시 생연동 704번지 일원,13039.000,1982,7,120,6,114,,,,258.00,120,138,,258,,80,178,,,,,,,52%,250%,117,115,조합,2014,,,,20050905,20070409,20210826,20210826,20030610,20030726,20190712,20221115,,,,,,,031-860-2402,
동두천시,준공,주거환경개선,싸리말,경기도 동두천시 보산동 314번지 일원,49551.000,1958~,165,185,185,,,,,,,,,,,,,,,,,,,200%,,106,,市,2007,2012,,,,20080114,,,,,,20100218,,20110518,,20121016,,,031-860-2356,
동두천시,준공,주거환경개선,안흥,경기도 동두천시 안흥동 38번지 일원,75352.000,1955,154,225,225,,,,,,,,,,,,,,,,,,,250%,,218,,市,2007,2015,,,,20080114,20130418,,,,,20130531,,20140721,,20151102,,,031-860-2356,
동두천시,준공,주거환경개선,생연1-1,경기도 동두천시 생연동 515-5번지 일원,46425.000,1960,194,408,408,,,,,,,,,,,,,,,,,,,250%,,296,,市,2007,2016,,,,20120316,,,,,,20130315,,20150420,,20161021,,,031-860-2356,
부천시,예정구역,재건축,괴안 3-2(역곡조공2차아파트),경기도 부천시 괴안동 33,27634.000,1985,16,320,,,320,,,,,,,,,,,,,,,,,,219%,,,,2019,2030,20171211,20191231,,,,,20230317,20240320,,,,,,,,,032-625-3762,
부천시,예정구역,재건축,괴안 3-1(역곡조공1차아파트),경기도 부천시 괴안동 36,14774.000,1984,5,224,,,224,,,,,,,,,,,,,,,,,,230%,,,,2018,2030,20171211,20181231,,,,,20180306,20240228,,,,,,,,,032-625-3761,
부천시,예정구역,재건축,심곡본 3-1(부천롯데아파트),경기도 부천시 심곡본동 615-1,22225.000,1984,5,463,,,463,,,,,,,,,,,,,,,,,,228%,,,,2018,2030,20171211,20181231,,,,,20240604,,,,,,,,,,032-625-3761,
